,Title,Company,Location,Salary,Details
0,"Software Developer (Artificial intelligence, Java, Python,MI...",GEM Techsoft Private limited,"Hyderabad, Telangana","₹3,00,000 - ₹8,00,000 a year",management: 1 year (Preferred) Bachelor's (Required) Yes
1,"Data Science Engineer,SMART MFG & AI",Micron,"Hyderabad, Telangana",,"Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, visualization, etc. to discover insightful patterns in the dataset Work on projects and develop solutions that would be of high impact in various areas such as Procurement, Supply Chain, Fabrication plant, Assembly and Test etc Work closely with IT and Supplier on data management, taking an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc. Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem. Build and maintain data/solution pipelines that feed machine learning models Work in a technical team through development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics Build custom software components and analytics applications Create/Maintain CI/CD pipelines of machine leaning models Developing responsive design web interface for result visualization and user interaction Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics Creating intuitive user interface for interactive data visualization to explain insights from data B.S/M.S degree in Science, Computer Science, Business Analytics, Industrial Engineering or any other engineering discipline with extensive programming exposure Strong scripting and programming skills in one of the following Python, C#, R, Java etc Strong communication (written, verbal and presentation) and analytical thinking skills Proficiency in the Microsoft Office suite Experience with continuous integration/continuous delivery (CI/CD) tools (Jenkins, Git, Docker, Kubernetes) Willing to travel and enjoy working in diverse environment Any exposure to below will be advantageous Hadoop ecosystem (Spark, Hive, HBase, etc.) Experience using ETL tools (SSIS, NiFi, Matillion, Fivetran) and Databases (MS SQL, Oracle, MySQL, Snowflake, etc.) Experience developing in with AWS, AZURE, GCP, Snowflake is a plus Image processing (OpenCV, Python PIL, scikit-image, etc.) Web Development (Angular, typescript, css, Node.js, etc) Mobile app development (Ionic framework, apache cordova, etc)"
2,Artificial Intelligence / Machine Learning Engineer,Healthcoco Technologies,"Pune, Maharashtra",,
3,"Software Engineer, University Graduate, 2021 Start",Google,"Bengaluru, Karnataka",,"Bachelor's degree or equivalent practical experience. Experience working with Unix/Linux, Windows or Mac environments, distributed systems, machine learning, information retrieval and TCP/IP. Experience programming in C, C++, Java or Python. Master's degree or PhD. Research, conceive and develop software applications to extend and improve on Google's product offering. Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies. Collaborate on scalability issues involving access to massive amounts of data and information. Solve challenges/problems that you are presented with."
4,AI (Artificial Intelligence) Expert,Realto Tech,"Hyderabad, Telangana","₹50,000 - ₹75,000 a month","Lead efforts to establish the company as an AI powerhouse Develop AI systems for financial services industry Design and develop AI tools to increase revenue, bring operational efficiencies or create new products and services for clients Support sales team in discussions with potential clients or develop new partnerships AI: 5 years (Preferred) Machine Learning: 5 years (Preferred) Bachelor's (Preferred)"
5,Data Science Developer,Ajira AI,"Pune, Maharashtra",,
6,Data Engineer,DataKare Solutions,"Hyderabad, Telangana",,
7,Artificial Intelligence / Data Science/ Machine Learning,TATA ELXSI LTD.,India,"₹3,50,000 - ₹5,00,000 a year",
8,Data Science Intern,Sankhkyiki Robotics,"Navi Mumbai, Maharashtra",,Work on different exercises on data science and machine learning algorithms Create projects for the computer vision natural language processing Create various artificial intelligence applications and combined them with robotics policy action based on the company's requirements
9,Data Engineer,Mphasis,"Pune, Maharashtra",,
